,page 0,page 1,page 2,page 3
,0,0,0,0
1,1,0,0,0
10,1,0,0,0
1000,0,1,0,0
10th,0,0,1,0
11,1,0,0,0
12,1,1,0,0
1200,0,1,0,0
13,1,0,0,0
13th,0,0,1,0
14,1,0,0,0
15,0,1,0,0
16,0,1,0,0
16th,0,0,1,0
17,0,1,0,0
18,0,1,0,0
19,0,1,0,0
19th,0,0,1,0
2,1,0,0,0
20,0,0,1,0
21,0,0,1,0
22,0,0,1,0
23,0,0,1,0
24,0,0,1,0
25,0,0,1,0
26,0,0,1,0
27,0,0,1,0
28,0,0,0,1
29,0,0,0,1
3,1,0,0,0
30,0,0,0,1
3000,0,1,0,0
31,0,0,0,1
32,0,0,0,1
4,1,0,0,0
400,0,1,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,2,0,0,0
a,1,2,1,1
able,0,1,0,0
about,1,0,0,1
academic,0,0,0,1
advanced,0,0,0,1
advancements,0,1,0,0
age,0,3,0,0
agencies,0,0,0,1
ages,0,1,0,0
along,0,0,1,0
an,0,1,0,0
and,9,6,6,6
applied,1,0,0,0
arabic,0,1,0,0
are,2,0,0,1
armaments,0,0,0,1
around,0,1,0,0
as,1,0,1,0
assimila,0,0,1,0
astronomy,0,1,0,0
axioms,1,0,0,0
based,0,1,0,0
bce,0,1,0,0
because,1,0,0,0
began,0,0,2,0
biology,1,0,0,0
branches,1,0,0,0
bronze,0,1,0,0
brought,0,1,0,0
builds,1,0,0,0
but,0,1,0,0
by,1,1,1,4
byzan,0,2,0,0
c,2,2,2,2
cal,2,0,0,1
care,0,0,0,1
causes,0,1,0,0
ce,0,1,0,0
century,0,0,3,0
changing,0,0,1,0
chemistry,1,0,0,0
classical,0,1,0,0
collabora,0,0,0,1
commercial,0,0,0,1
companies,0,0,0,1
computer,1,0,0,0
concep,0,0,1,0
contemporary,0,0,0,1
contribu,0,1,0,0
crea,0,0,1,0
cs,1,1,0,0
curiosity,0,0,0,1
da,0,1,0,0
departed,0,0,1,0
desire,0,0,0,1
deteriorated,0,1,0,0
development,0,0,0,1
disagreement,1,0,0,0
discipline,0,1,0,0
disciplines,2,0,0,0
discoveries,0,0,1,0
divided,1,0,0,0
do,1,0,0,0
done,0,0,0,1
during,0,3,0,0
dying,0,1,0,0
e,3,1,0,0
earliest,0,1,0,0
early,0,1,0,0
east,0,1,0,0
economics,1,0,0,0
egypt,0,1,0,0
emergence,0,0,0,1
empire,0,3,0,0
empirical,1,0,0,0
empts,0,1,0,0
en,0,1,0,0
endeavor,1,0,0,0
engineering,1,0,0,0
entered,0,1,0,0
enterprise,0,0,0,1
environmental,0,0,0,1
er,0,1,0,0
es,1,0,0,0
ethical,0,0,0,1
europe,0,1,1,0
events,0,1,0,0
evidence,1,0,0,0
expanded,0,1,0,0
explana,1,1,0,0
fall,0,1,0,0
features,0,0,1,0
for,1,0,0,0
form,1,0,0,0
formal,3,1,0,0
from,0,2,2,1
further,0,1,0,0
g,3,0,0,0
golden,0,2,0,0
governed,1,0,0,0
government,0,0,0,1
greater,0,0,1,0
greek,0,3,2,0
gupta,0,1,0,0
has,0,0,0,1
health,0,0,0,1
highly,0,0,0,1
hindu,0,1,0,0
historical,0,1,0,0
history,0,1,0,0
ideas,0,0,1,0
iden,0,1,0,0
impact,0,0,0,1
in,2,4,2,3
including,0,1,0,0
india,0,1,0,0
individuals,1,0,0,0
infrastructure,0,0,0,1
inquiries,0,0,1,0
ins,0,0,1,1
into,1,0,1,0
introduc,0,1,0,0
is,3,0,0,3
islamic,0,1,1,0
it,0,0,1,0
knowledge,2,0,1,1
l,0,0,1,0
later,0,1,1,0
led,0,0,0,1
logic,1,0,0,0
made,0,2,0,0
major,1,0,0,0
majority,0,1,0,0
manuscripts,0,1,0,0
many,0,0,1,0
mathema,1,1,0,0
medicine,1,1,0,0
mesopotamia,0,1,0,0
method,0,0,1,0
middle,0,2,0,0
mo,0,0,0,1
modern,1,1,0,0
moral,0,0,0,1
natural,1,2,3,0
ne,0,2,0,0
neutral,1,0,0,0
new,0,0,1,1
ng,0,1,0,0
not,1,0,1,0
numeral,0,1,0,0
of,1,9,4,3
on,1,2,3,1
onal,0,0,1,0
ons,2,2,2,1
organizes,1,0,0,0
orts,0,1,0,0
philosophy,0,1,2,0
physical,1,1,0,0
physics,1,0,0,0
played,0,0,1,0
policies,0,0,0,1
prac,1,0,0,1
predecessors,0,1,0,0
predic,1,0,0,0
preserved,0,1,0,0
previous,0,0,1,0
priori,0,0,0,1
problems,0,0,0,1
products,0,0,0,1
professional,0,0,1,0
protec,0,0,0,1
provide,0,1,0,0
psychology,1,0,0,0
public,0,0,0,1
purposes,1,0,0,0
quity,0,1,0,0
record,0,1,0,0
records,0,1,0,0
recovery,0,0,1,0
regions,0,1,0,0
rely,1,0,0,0
renaissance,0,1,0,0
research,0,1,0,3
revived,0,0,1,0
revolu,0,0,1,0
rigorous,1,0,0,0
role,0,0,1,0
roman,0,1,0,0
rules,1,0,0,0
scholars,0,1,0,0
scien,1,2,2,3
science,4,1,2,2
sciences,5,0,0,0
seek,0,0,0,1
shape,0,0,1,0
shaped,0,1,0,0
social,1,0,0,0
socie,1,0,0,0
sociology,1,0,0,0
solve,0,0,0,1
soon,0,0,1,0
spans,0,1,0,0
sts,0,0,0,1
study,3,0,0,0
such,1,0,0,0
system,0,1,0,0
systema,1,0,0,0
systems,1,0,0,0
take,0,0,1,0
teams,0,0,0,1
testable,1,0,0,0
that,2,0,2,1
the,6,17,8,5
their,0,1,0,1
theore,1,0,0,0
there,1,0,0,0
these,0,1,0,0
they,1,0,0,0
three,1,0,0,0
to,0,7,3,3
tradi,0,0,1,0
transformed,0,0,1,0
tu,0,0,1,1
typically,1,0,0,0
uence,0,0,0,1
un,0,0,1,0
universe,1,0,0,0
upon,0,1,0,0
use,1,0,0,0
usually,0,0,0,1
vated,0,0,0,1
ve,0,0,0,1
was,0,1,2,0
were,0,2,0,0
western,0,2,1,0
whereby,0,1,0,0
whether,1,0,0,0
which,3,0,1,0
while,0,1,0,0
who,0,1,0,1
with,0,1,1,0
work,0,0,0,1
works,0,0,1,0
world,1,1,0,1
wri,0,1,0,0
zing,0,0,0,1
